time,altitude_true,velocity_true,acceleration_true,mass,pressure_true,accel_true_x,accel_true_y,accel_true_z,gyro_true_x,gyro_true_y,gyro_true_z,q_x,q_y,q_z,q_w
0.0,0.0,0.0,0.0,24.945,1013.25,-0.00256825196497212,0.0,-9.809999663816603,0.0,0.0,0.0,0.0,0.0001308996935257529,0.0,0.9999999914326351
0.010002000400080016,0.0,-0.04807927626370937,-4.807927626370937,24.930278571428573,1013.25,-0.0076539267456482785,1.0206271112414743e-05,-14.617925622574496,6.98407970491624e-05,0.02617992568470909,5.235199055960461e-05,3.491697169592906e-07,0.0002617993193325313,2.618056605024076e-07,0.9999999657304625
0.020004000800160033,0.0,-0.04607871590865029,0.20005603550590753,24.915557142857143,1013.25,-0.007547625287701829,2.0127710896470877e-05,-9.60994100052981,0.00013969501777068177,0.026179886399114786,0.00010468522365481574,1.0475420145009796e-06,0.0003926987442252848,7.853689112858061e-07,0.9999999228929882
0.03000600120024005,6.060892322531763e-05,0.0060608923225317635,5.213960823118206,24.900835714285716,1013.2499927190976,-0.004812951695748101,1.9251205704694434e-05,-4.5960366567900275,0.00020956237738198953,0.026179820923202334,0.0001569992244934695,2.0951483457455436e-06,0.0005235978350089013,1.5706393163529514e-06,0.9999998629192159
0.040008001600320066,0.0011445975780001877,0.108398865477487,10.233797315495524,24.886114285714285,1013.2498625004021,0.0005547475731420421,-2.958363624328348e-06,0.42379695240479315,0.00027944259075914345,0.026179729257089997,0.0002092935184764263,3.4920187524621315e-06,0.0006544964584881905,2.617564074431216e-06,0.9999997858076471
0.05001000200040008,0.0037545437352919063,0.2609946157291719,15.259575025168486,24.871392857142858,1013.2495489696995,0.008560129886053022,-5.7058104686676694e-05,5.449568301788758,0.00034933537243805895,0.026179611400944967,0.0002615676312019924,5.238181864224746e-06,0.0007853944814678698,3.926088019493842e-06,0.9999996915562803
0.0600120024004801,0.008393619870719276,0.463907613542737,20.291299781356514,24.856671428571428,1013.2489916814615,0.019207850253656733,-0.00015362704669681998,10.481282180227355,0.00041924043661574413,0.026179467354984273,0.0003138210884703377,7.333664897573308e-06,0.0009162917707525529,5.496153621301988e-06,0.9999995801626121
0.07001400280056011,0.015565593601050306,0.7171973730331029,25.328975949036586,24.84195,1013.2481301188967,0.032502561167463424,-0.00030326608010660804,15.518941909754135,0.0004891574971515409,0.026179297119475607,0.0003660534162879131,9.778493655179618e-06,0.0010471881931467398,7.327700985967577e-06,0.9999994516236367
0.08001600320064013,0.025774827915780344,1.0209234314730038,30.372605843990097,24.82722857142857,1013.246903694052,0.0484489093160489,-0.0005165978613565935,20.562548760589202,0.000559086267568376,0.02617910069473806,0.00041826414087186675,1.2572692525018245e-05,0.001178083615454809,9.420667856536936e-06,0.9999993059358459
0.09001800360072015,0.039526281202373684,1.3751453286593336,35.422189718632985,24.812507142857143,1013.2452517479766,0.06705153287685012,-0.0008042666979988437,25.61210193694268,0.0006290264610540119,0.026178878081143574,0.00047045278865445625,1.5716284479542343e-05,0.001308977904481014,1.1774989613595219e-05,0.9999991430952296
0.10002000400080016,0.057325507063745895,1.7799225861372214,40.47772574778878,24.797785714285716,1013.2431135509322,0.08831505878566236,-0.0011769384116022343,30.667598562763185,0.0006989777904623111,0.026178629279117373,0.0005226188862874605,1.9209291074864422e-05,0.0014398709270294803,1.4390599275891617e-05,0.9999989630972761
0.11002200440088018,0.07967865392655912,2.235314686281323,45.53921001441019,24.783064285714286,1013.240428302663,0.11224409998376961,-0.0016453001782419394,35.72903366743684,0.0007689399683144993,0.02617835428913905,0.0005747619606465893,2.305173244994207e-05,0.001570762549904205,1.7267427500985342e-05,0.9999987659369712
0.1200240048009602,0.10709246443889786,2.741381051233874,50.606636495255096,24.76834285714286,1013.2371351327191,0.1388432526426538,-0.002220060346374657,40.79640017144292,0.0008389127068004359,0.026178053111743305,0.0006268815388358905,2.7243627325768667e-05,0.0017016526399090592,2.0405402585912373e-05,0.9999985516087998
0.1300260052010402,0.1400742746558889,3.298181021699103,55.6799970465229,24.753621428571428,1013.2331731008387,0.16811709336623937,-0.002911948231901073,45.86968887197182,0.0009088957177798973,0.02617772574752106,0.0006789771481921547,3.1784993004569074e-05,0.0018325410638477928,2.3804450467872992e-05,0.9999983201067448
0.14002800560112022,0.17913201301182566,3.905773835593675,60.75928138945723,24.7389,1013.2284811973803,0.20007017637064417,-0.0037317138902171914,50.94888842851169,0.000978888712783858,0.026177372197120297,0.0007310483162893197,3.667584536900037e-05,0.001963427688524041,2.7464494724940064e-05,0.9999980714242883
0.15003000600120026,0.22477419907735452,4.564218606552887,65.8444770959212,24.72417857142857,1013.2229983438141,0.23470703064141993,-0.004690127865056468,56.03398534840966,0.001048891403015785,0.026176992461246808,0.0007830945709428733,4.191619888135758e-05,0.002094312380741334,3.138545657678807e-05,0.999997805554411
0.16003200640128026,0.2775099421002785,5.2735743022924,70.93556957395127,24.709457142857143,1013.2166633932734,0.2720321570682781,-0.0057979809139251165,61.12496397241388,0.001118903499352925,0.0261765865406654,0.0008351154402142468,4.7506066582784434e-05,0.0022251950073031083,3.556725488544289e-05,0.9999975224895927
0.17003400680136027,0.33784893932853216,6.033899722825363,76.03254205329628,24.694735714285713,1013.2094151311554,0.3120500255573136,-0.007066083709933629,66.22180646020317,0.001188924712347616,0.026176154436200503,0.0008871104524152157,5.344546009248926e-05,0.0023560754350127233,4.000980615605238e-05,0.9999972222218134
0.1800360072014403,0.4063014741138806,6.845253478534843,81.13537557094804,24.680014285714286,1013.2011922757836,0.3547650721207471,-0.008505266519828296,71.32449277590999,0.001258954752228589,0.026175696148737142,0.0009390791361122949,5.973438960696582e-05,0.002486953530673473,4.471302453767756e-05,0.9999969047425519
0.19003800760152031,0.48337841379489604,7.707693968101541,86.24404895666974,24.66529285714286,1013.1919334791286,0.4001816959442279,-0.010126378858027541,76.43300067364403,0.0013289933289022929,0.026175211679221832,0.0009910210201311271,6.63728638992194e-05,0.0026178291610886107,4.967682182410471e-05,0.9999965700427875
0.20004000800160032,0.5695912073577644,8.621279356286836,91.35853881852952,24.65057142857143,1013.1815773275805,0.44830425643174776,-0.01194028911646905,81.5473056830229,0.0013990401519541852,0.02617470102866331,0.001042935633560877,7.336089031799778e-05,0.002748702193061364,5.4901107454678024e-05,0.9999962181129998
0.21004200840168036,0.6654518828734772,9.586067551571286,96.478819528445,24.63585,1013.1700623427876,0.4991370702282329,-0.01395788417007489,86.66738109471616,0.0014690949306501082,0.026174164198134054,0.0010948225057586178,8.069847478702758e-05,0.002879572493394964,6.038578851515309e-05,0.9999958489431683
0.22004400880176037,0.7714730447099648,10.602116183648754,101.60486320774663,24.62112857142857,1013.157326982544,0.5526844082198977,-0.01619006895764363,91.79319794601065,0.001539157373937571,0.026173601188770282,0.001146681166353712,8.838562180425562e-05,0.0030104399288926704,6.61307697385711e-05,0.9999954625227745
0.23004600920184037,0.8881678705177289,11.669482580776414,106.73663971276605,24.606407142857144,1013.1433096417448,0.608950492512456,-0.01864776603797975,96.92472500640302,0.0016092271904471227,0.026173012001773712,0.0011985111452522067,9.642233444109532e-05,0.003141304366357798,7.213595350615364e-05,0.9999950588408003
0.2400480096019204,1.0160501079875388,12.788223746980986,111.87411662045722,24.591685714285713,1013.1279486533921,0.6679394933873023,-0.021341915121073033,102.06192876322748,0.0016793040884936588,0.026172396638411196,0.0012503119726411794,0.00010480861434167842,0.003272165672593748,7.840123984821826e-05,0.9999946378857294
0.2500500100020004,1.1556340713787543,13.958396339121553,117.01725921405658,24.576964285714286,1013.1111822896623,0.729655526235792,-0.024283472574142255,107.20477340732506,0.001749387776077818,0.026171755100017763,0.0013020831789931767,0.00011354446172211193,0.0034030237144040474,8.492652644511483e-05,0.9999941996455477
0.2600520104020804,1.3074346378168489,15.180056643809465,122.16603046879112,24.562242857142856,1013.0929487630387,0.7941026484717657,-0.027483410902360315,112.35322081876306,0.0018194779608872896,0.02617108738799414,0.001353824295070513,0.00012262987536974007,0.0035338783585923744,9.171170862818237e-05,0.9999937441077433
